,Total.Mass,Lean.Mass,Fat.Mass
a90,39.89,20.32,15.30
a92,40.67,20.23,16.08
a93,39.20,20.79,14.21
a94,35.76,18.82,13.11
a96,33.57,20.43,9.54
a98,42.11,22.04,15.56
b06,44.63,22.09,17.76
b10,46.98,22.86,19.09
b27,45.20,22.35,18.01
b28,43.92,23.77,15.44
b29,44.46,22.76,16.94
b30,46.46,24.10,17.38
c19,38.27,19.38,14.79
c20,39.59,19.73,15.62
c31,42.64,22.29,15.78
c37,39.21,23.38,11.63
c41,40.70,20.86,15.48
c42,40.26,20.78,15.17
d01,47.13,23.10,18.98
d02,47.95,23.27,19.54
d03,49.90,24.83,19.72
d13,40.97,21.87,14.71
d15,47.70,23.18,19.41
d25,48.50,24.00,19.30
